location,date,total
sihl_zuerich_eggerskoehlingera,2018-01-09,1.71
sihl_zuerich_eggerskoehlingera,2018-02-28,2.47
grendelbach_effretikon_dambonec,2017-04-09,0.85
grendelbach_effretikon_dambonec,2017-05-08,2.49
grendelbach_effretikon_dambonec,2017-06-12,1.27
grendelbach_effretikon_dambonec,2017-07-03,0.71
la-morges,2017-04-09,5.63
zuerichsee_richterswil_benkoem_2,2017-04-10,6.45
zuerichsee_richterswil_benkoem_2,2017-05-10,4.0
zuerichsee_richterswil_benkoem_2,2017-06-10,5.63
zuerichsee_richterswil_benkoem_2,2017-07-16,2.79
zuerichsee_richterswil_benkoem_2,2017-08-12,3.19
zuerichsee_richterswil_benkoem_2,2017-09-10,2.37
zuerichsee_richterswil_benkoem_2,2017-10-11,1.13
zuerichsee_richterswil_benkoem_2,2017-11-07,1.18
zuerichsee_richterswil_benkoem_2,2017-12-13,0.75
zuerichsee_richterswil_benkoem_2,2018-02-25,1.31
zuerichsee_richterswil_benkoem_2,2018-03-25,1.51
rhein_domatems_foppa_f,2017-04-10,0.46
rhein_domatems_foppa_f,2017-05-22,0.66
rhein_domatems_foppa_f,2017-06-25,1.01
rhein_domatems_foppa_f,2017-07-30,0.88
rhein_domatems_foppa_f,2017-09-25,0.37
rhein_domatems_foppa_f,2017-10-05,0.49
rhein_domatems_foppa_f,2017-11-23,0.57
emme_luterbach_huggenbergerk,2017-04-10,0.43
emme_luterbach_huggenbergerk,2017-05-11,0.09
emme_luterbach_huggenbergerk,2017-06-28,0.55
emme_luterbach_huggenbergerk,2017-07-29,0.08
emme_luterbach_huggenbergerk,2017-08-30,0.22
emme_luterbach_huggenbergerk,2017-09-30,0.13
emme_luterbach_huggenbergerk,2017-10-30,0.01
zuerichsee_waedenswil_colomboc_1,2017-04-10,2.83
zuerichsee_waedenswil_colomboc_1,2017-05-10,1.34
zuerichsee_waedenswil_colomboc_1,2017-06-10,3.25
zuerichsee_waedenswil_colomboc_1,2017-07-16,1.63
zuerichsee_waedenswil_colomboc_1,2017-08-12,2.49
zuerichsee_waedenswil_colomboc_1,2017-09-10,1.7
zuerichsee_waedenswil_colomboc_1,2017-10-11,0.85
zuerichsee_waedenswil_colomboc_1,2017-12-27,1.13
zuerichsee_waedenswil_colomboc_1,2018-02-26,2.69
zuerichsee_waedenswil_colomboc_1,2018-03-25,1.42
reuss_hunenberg_eberhardy,2017-04-10,1.65
reuss_hunenberg_eberhardy,2017-05-09,1.2
reuss_hunenberg_eberhardy,2017-06-12,1.26
reuss_hunenberg_eberhardy,2017-07-09,0.99
reuss_hunenberg_eberhardy,2017-08-23,1.56
reuss_hunenberg_eberhardy,2017-09-20,0.34
reuss_hunenberg_eberhardy,2017-10-31,0.37
reuss_hunenberg_eberhardy,2017-11-18,0.26
reuss_hunenberg_eberhardy,2017-12-31,0.85
reuss_hunenberg_eberhardy,2018-01-31,1.16
reuss_hunenberg_eberhardy,2018-02-26,0.23
reuss_hunenberg_eberhardy,2018-03-19,0.77
limmat_zuerich_suterdglauserp,2017-04-10,2.93
limmat_zuerich_suterdglauserp,2017-05-16,0.51
limmat_zuerich_suterdglauserp,2017-06-14,3.51
limmat_zuerich_suterdglauserp,2017-07-12,4.67
limmat_zuerich_suterdglauserp,2017-08-21,1.49
limmat_zuerich_suterdglauserp,2017-09-26,0.56
limmat_zuerich_suterdglauserp,2017-10-18,0.49
limmat_zuerich_suterdglauserp,2017-11-23,0.22
limmat_zuerich_suterdglauserp,2017-12-21,0.13
limmat_zuerich_suterdglauserp,2018-02-24,0.45
limmat_zuerich_suterdglauserp,2018-03-24,1.12
rhein_eglisau_gomringerp,2017-04-12,0.85
rhein_eglisau_gomringerp,2017-05-22,0.51
rhein_eglisau_gomringerp,2017-06-27,3.51
rhein_eglisau_gomringerp,2017-07-23,3.35
rhein_eglisau_gomringerp,2017-08-30,2.16
rhein_eglisau_gomringerp,2017-10-25,2.17
rhein_eglisau_gomringerp,2017-11-30,0.5
rhein_eglisau_gomringerp,2017-12-31,0.17
rhein_eglisau_gomringerp,2018-02-28,1.84
rhein_eglisau_gomringerp,2018-03-31,0.17
urnaesch_urnaesch_meierr,2017-04-12,1.02
urnaesch_urnaesch_meierr,2017-05-18,1.3
urnaesch_urnaesch_meierr,2017-06-16,0.52
urnaesch_urnaesch_meierr,2017-07-20,0.24
urnaesch_urnaesch_meierr,2017-08-15,0.27
urnaesch_urnaesch_meierr,2017-09-17,0.83
urnaesch_urnaesch_meierr,2017-10-15,0.38
urnaesch_urnaesch_meierr,2017-11-27,0.09
urnaesch_urnaesch_meierr,2018-01-12,0.5
urnaesch_urnaesch_meierr,2018-03-14,0.86
aare_brugg_buchie,2017-04-12,2.45
aare_brugg_buchie,2017-05-08,2.2
aare_brugg_buchie,2017-06-13,1.2
aare_brugg_buchie,2017-07-20,2.5
aare_brugg_buchie,2017-08-26,3.45
aare_brugg_buchie,2017-09-25,1.1
aare_brugg_buchie,2017-10-31,0.2
aare_brugg_buchie,2017-11-27,0.15
aare_brugg_buchie,2017-12-28,0.4
aare_brugg_buchie,2018-02-04,0.25
aare_brugg_buchie,2018-03-31,0.85
sitter_stgallen_steinbrunnerf,2017-04-12,2.21
sitter_stgallen_steinbrunnerf,2017-05-03,0.37
sitter_stgallen_steinbrunnerf,2017-06-14,0.53
sitter_stgallen_steinbrunnerf,2017-07-05,0.08
sitter_stgallen_steinbrunnerf,2017-08-23,0.33
sitter_stgallen_steinbrunnerf,2017-09-13,0.45
sitter_stgallen_steinbrunnerf,2017-10-25,0.35
sitter_stgallen_steinbrunnerf,2017-11-15,0.71
sitter_stgallen_steinbrunnerf,2017-12-13,0.42
sitter_stgallen_steinbrunnerf,2018-02-07,0.5
sitter_stgallen_steinbrunnerf,2018-03-14,0.29
sihl_leimbach_kruegerm,2017-04-13,0.35
sihl_leimbach_kruegerm,2017-05-24,0.55
sihl_leimbach_kruegerm,2017-06-22,0.41
sihl_leimbach_kruegerm,2017-07-24,0.34
sihl_leimbach_kruegerm,2017-08-27,0.22
sihl_leimbach_kruegerm,2017-10-18,0.1
sihl_leimbach_kruegerm,2017-12-25,0.03
sihl_leimbach_kruegerm,2018-01-26,0.83
sihl_leimbach_kruegerm,2018-02-25,0.26
sihl_leimbach_kruegerm,2018-03-26,0.13
emme_utzenstorf_gruttert,2017-04-13,1.22
emme_utzenstorf_gruttert,2017-05-02,0.44
emme_utzenstorf_gruttert,2017-07-21,0.66
emme_utzenstorf_gruttert,2017-08-30,0.55
emme_utzenstorf_gruttert,2017-11-30,0.22
emme_utzenstorf_gruttert,2018-01-30,0.44
emme_utzenstorf_gruttert,2018-02-27,0.33
emme_utzenstorf_gruttert,2018-03-27,0.66
aare_suhrespitz_badert,2017-04-13,2.54
aare_suhrespitz_badert,2017-05-05,1.12
aare_suhrespitz_badert,2017-06-23,2.23
aare_suhrespitz_badert,2017-07-14,1.82
aare_suhrespitz_badert,2017-08-18,1.48
aare_suhrespitz_badert,2017-09-15,1.19
aare_suhrespitz_badert,2017-10-13,1.91
aare_suhrespitz_badert,2017-11-10,0.93
aare_suhrespitz_badert,2017-12-23,0.64
aare_suhrespitz_badert,2018-01-20,0.44
aare_suhrespitz_badert,2018-02-10,0.52
aare_suhrespitz_badert,2018-03-24,3.16
limmat_zuerich_jansena,2017-04-13,0.62
limmat_zuerich_jansena,2017-05-11,0.26
limmat_zuerich_jansena,2017-06-15,0.83
limmat_zuerich_jansena,2017-07-13,0.65
limmat_zuerich_jansena,2017-08-17,1.25
limmat_zuerich_jansena,2017-09-07,0.22
limmat_zuerich_jansena,2017-10-11,0.16
limmat_zuerich_jansena,2017-11-16,0.02
limmat_zuerich_jansena,2017-12-14,0.13
limmat_zuerich_jansena,2018-01-17,0.04
limmat_zuerich_jansena,2018-03-15,0.12
aare_rupperswil_badert,2017-04-13,0.47
aare_rupperswil_badert,2017-05-05,0.28
aare_rupperswil_badert,2017-06-23,0.28
aare_rupperswil_badert,2017-07-14,0.28
aare_rupperswil_badert,2017-08-18,0.15
aare_rupperswil_badert,2017-09-15,0.1
aare_rupperswil_badert,2017-10-13,0.22
aare_rupperswil_badert,2017-11-10,0.08
aare_rupperswil_badert,2017-12-24,0.02
aare_rupperswil_badert,2018-01-20,0.02
aare_rupperswil_badert,2018-02-10,0.04
zugerseecholler_cham_blarerm,2017-04-13,2.07
zugerseecholler_cham_blarerm,2017-05-12,1.67
zugerseecholler_cham_blarerm,2017-06-21,2.34
zugerseecholler_cham_blarerm,2017-07-11,2.77
zugerseecholler_cham_blarerm,2017-08-13,2.43
zugerseecholler_cham_blarerm,2017-09-10,2.79
zugerseecholler_cham_blarerm,2017-10-25,1.8
zugerseecholler_cham_blarerm,2017-11-07,0.59
zugerseecholler_cham_blarerm,2017-12-22,0.5
zugerseecholler_cham_blarerm,2018-01-13,0.94
zugerseecholler_cham_blarerm,2018-02-13,1.05
zugerseecholler_cham_blarerm,2018-03-10,0.84
sitter_gaiserwald_buehlerf,2017-04-14,16.64
sitter_gaiserwald_buehlerf,2017-05-29,14.2
sitter_gaiserwald_buehlerf,2017-06-26,11.48
sitter_gaiserwald_buehlerf,2017-07-10,10.28
sitter_gaiserwald_buehlerf,2017-08-21,16.34
sitter_gaiserwald_buehlerf,2017-09-28,7.92
sitter_gaiserwald_buehlerf,2017-10-20,7.05
sitter_gaiserwald_buehlerf,2017-11-27,5.86
sitter_gaiserwald_buehlerf,2017-12-27,8.25
sitter_gaiserwald_buehlerf,2018-01-28,5.9
sitter_gaiserwald_buehlerf,2018-03-24,8.92
aare_bern_gerberm,2017-04-14,1.69
aare_bern_gerberm,2017-05-21,0.2
aare_bern_gerberm,2017-06-26,0.78
aare_bern_gerberm,2017-07-31,1.23
aare_bern_gerberm,2017-08-29,1.91
aare_bern_gerberm,2017-09-26,2.3
aare_bern_gerberm,2017-10-31,1.17
aare_bern_gerberm,2017-11-17,0.7
aare_bern_gerberm,2017-12-26,1.05
aare_bern_gerberm,2018-01-27,2.07
